observed	modeled
11.021	2.2763e-011
10.669	2.8756e-011
12.65	1.4665
10.428	2.5731e-011
1.3231	3.3885e-011
15.425	14.359
20.764	4.6997
13.806	2.4137
3.4575e-011	2.2732e-011
8.223	3.956
3.4996	2.1136
12.767	10.125
6.8973	2.8896e-011
5.0204	2.7858
1.6996	0.82445
5.595	5.9716
6.0025	10.078
1.5605	3.0904e-011
1.4091	1.5169
2.518e-011	3.8531e-011
0.99298	3.2374e-011
6.0042	5.8606
12.263	3.4883
6.8883	1.2774
2.3251	3.3944e-011
4.3763	9.3742
3.3879	0.21445
6.3495	5.1006
2.0915	2.4628e-011
9.8174	4.0163
2.1662e-011	5.7454
5.9785	1.5846
5.1563	3.6106e-011
1.224	4.0647e-011
3.3234e-011	2.883e-011
2.7751	0.28842
11.965	5.9209
6.0489	2.5182e-011
12.781	15.943
24.918	1.9998
11.639	3.8947
3.9417	4.7063
5.0204	2.8219e-011
1.4239	3.3721
0.49455	3.4134e-011
0.61345	0.46208
5.1906	0.47162
12.907	5.7536
8.7537	3.4645e-011
1.8339	3.1029e-011
5.2858	6.255
7.768	2.0872
9.6538	4.1557e-011
2.8355e-011	3.4019e-011
3.3761	5.7937
1.3061	3.4205e-011
3.8298	2.9649e-011
3.1812	3.166e-011
4.0677	3.1702
0.96154	2.8178e-011
1.0264	3.4612e-011
5.1034	5.1274
4.6573	1.8376e-011
3.65	1.6634e-011
3.0558	3.3949e-011
3.9099	2.1508e-011
9.0121	2.1894
18.963	9.9118
5.1338	2.6172e-011
6.3495	0.94637
7.9768	3.0712e-011
10.346	3.0256
3.7713	2.7333e-011
7.0973	2.3205
2.0992	1.4407e-011
2.8094	2.0695e-011
12.141	7.3851
6.2496	3.9259e-011
7.5118	3.9038e-011
38.205	26.686
2.3238	4.0072e-011
15.14	1.5641
7.5714	2.0904e-011
9.0857	8.4785
176.74	153.98
53.973	71.724
97.326	212.6
31.232	140.95
16.968	4.8019
2.0277e-010	0.020293
6.4764e-011	0.0042682
25.588	67.785
169.42	165.62
211.01	298.39
291.02	381.64
110.02	100.95
1.1443e-010	2.98e-012
198.84	179.18
207.24	306.08
175.06	226.63
68.301	171.52
6.4764e-011	5.624
178.89	164.56
236.3	277.53
296.98	381.92
245.9	290.06
14.352	27.693
187.77	162.8
294.43	314.83
247.06	295.65
325.72	258.69
51.41	39.959
186.9	174.36
215.85	231.1
269.62	343.21
53.328	139.19
54.098	39.885
79.887	171.5
119.98	334.12
155.23	120.05
278.14	207.57
88.128	87.86
200.42	235.61
296.38	336.03
239.83	298.26
20.302	54.418
204.32	232.69
290.94	276.13
44.073	44.392
8.6862	0.01388
129.98	116.37
324.63	287.36
342.32	319.05
387.66	358.12
